file,Number of Packets,Median Time Between Packets,Bytes Down,Bytes Up,Number of Flows
0,4193.0,0.0001005,0.0,0.0,65.0
1,4228.0,9.6e-05,15752901.0,227241.0,63.0
10,15917.0,2.8e-05,17191704.0,355968.0,65.0
100,3955.0,9.5e-05,15232625.0,220646.0,63.0
101,4664.0,0.000116,15754546.0,252117.0,61.0
102,4731.0,0.00011,15767568.0,253321.0,65.0
103,3999.0,0.000108,15732220.0,228815.0,65.0
104,4665.0,0.000125,15768401.0,248710.0,67.0
105,4786.0,0.000115,15770027.0,249718.0,63.0
106,4560.0,0.000122,15749099.0,253585.0,63.0
107,4806.0,0.000102,15750775.0,251019.0,63.0
108,4645.0,0.000102,15755505.0,247660.0,63.0
109,15264.0,3e-05,16381852.0,340954.0,63.0
11,15042.0,2.9e-05,16358386.0,333300.0,61.0
110,15137.0,3e-05,16367859.0,336687.0,65.0
111,4503.0,0.000115,15749772.0,248277.0,63.0
112,4572.0,0.00011,15752169.0,251436.0,63.0
113,14408.0,3.1e-05,14754180.0,363425.0,65.0
114,13981.0,3.1e-05,14624574.0,341084.0,65.0
115,15587.0,3e-05,16362778.0,363923.0,63.0
116,15041.0,2.9e-05,16364158.0,333381.0,63.0
117,15043.0,2.9e-05,16364518.0,346607.0,65.0
118,4680.0,0.000101,14585765.0,253025.0,65.0
119,4857.0,0.000123,15771184.0,257733.0,63.0
12,3900.0,9.5e-05,15750880.0,216528.0,61.0
120,3610.0,0.000107,13864161.0,225774.0,65.0
121,4782.0,0.000132,15764502.0,253950.0,61.0
122,3724.0,0.0001,13685028.0,228579.0,65.0
123,4160.0,0.000114,15749555.0,225845.0,65.0
124,14244.0,3e-05,14624455.0,360188.0,63.0
125,14916.0,3e-05,16354646.0,326316.0,63.0
126,13656.0,3e-05,14602816.0,319003.0,61.0
127,4224.0,9.2e-05,15740155.0,218581.0,63.0
128,4128.0,0.000104,15743344.0,223571.0,65.0
129,4307.0,0.000157,15747462.0,236036.0,65.0
13,4551.0,0.00013,15743153.0,255470.0,63.0
130,3890.0,9.9e-05,15731275.0,216828.0,63.0
131,3937.0,0.000149,15729153.0,228647.0,63.0
132,4478.0,0.000121,15754946.0,232455.0,63.0
133,3988.0,9.4e-05,15506702.0,219666.0,65.0
134,4268.0,0.000138,15738829.0,233639.0,61.0
135,3641.0,0.000105,15421471.0,216277.0,63.0
136,3776.0,0.000101,15725849.0,219662.0,63.0
137,15405.0,3e-05,16363883.0,357005.0,63.0
138,15207.0,3e-05,16358997.0,345325.0,63.0
139,4005.0,0.000108,15236455.0,232543.0,63.0
14,16481.0,3.1e-05,17203278.0,397027.0,63.0
140,4389.0,0.00013,15752956.0,239255.0,67.0
141,4269.0,8.5e-05,15632910.0,228197.0,61.0
142,4289.0,0.000146,15746080.0,231230.0,63.0
143,4368.0,0.000127,15752683.0,232540.0,63.0
144,3969.0,0.0001075,15731647.0,224301.0,63.0
145,4172.0,0.000109,15737950.0,221287.0,61.0
146,4124.0,0.00014,15744664.0,224172.0,63.0
147,4295.0,0.00016,15745879.0,232955.0,65.0
148,4146.0,0.000122,15748840.0,224929.0,63.0
149,14870.0,2.8e-05,16370330.0,322568.0,63.0
15,15658.0,3.1e-05,16376037.0,365942.0,63.0
150,14137.0,2.9e-05,14609245.0,351920.0,63.0
151,12623.0,0.0009805,10002096.0,467921.0,63.0
152,3913.0,0.000114,15729646.0,218056.0,63.0
153,4124.0,0.00012,15744878.0,227058.0,65.0
154,3910.0,0.000106,14068257.0,221675.0,63.0
155,4150.0,0.000128,15739699.0,228939.0,65.0
156,13644.0,3e-05,14613343.0,322345.0,63.0
157,15609.0,2.9e-05,16369971.0,371804.0,63.0
158,15036.0,2.8e-05,16352499.0,337512.0,63.0
159,15038.0,2.9e-05,16360521.0,334420.0,61.0
16,4135.0,0.000102,15743830.0,223926.0,65.0
160,3424.0,0.000156,15147067.0,223283.0,65.0
161,3885.0,9.2e-05,15359504.0,215288.0,61.0
162,14890.0,3e-05,16359656.0,323208.0,61.0
163,14549.0,3e-05,15659021.0,345724.0,65.0
164,4101.0,8.5e-05,16519544.0,225407.0,65.0
165,4041.0,0.0001125,15758960.0,222946.0,63.0
166,4187.0,0.000102,15746263.0,225073.0,61.0
167,3979.0,8.4e-05,15506441.0,222620.0,63.0
168,4038.0,9.4e-05,15664945.0,226447.0,63.0
169,4045.0,9.3e-05,15667131.0,224733.0,61.0
17,4352.0,0.000133,15748910.0,235950.0,65.0
170,15428.0,3e-05,16362575.0,360520.0,63.0
171,15336.0,2.9e-05,16360180.0,356371.0,65.0
172,4368.0,0.000135,15743783.0,236198.0,61.0
173,3912.0,0.000118,14058159.0,222895.0,65.0
174,3707.0,0.000119,14051378.0,224251.0,63.0
175,3736.0,0.00011,15624237.0,213503.0,65.0
176,15169.0,3.1e-05,15427306.0,396427.0,61.0
177,3678.0,0.000104,15723644.0,230232.0,67.0
178,3954.0,0.000119,14058521.0,229921.0,61.0
179,4030.0,0.000108,15745324.0,226473.0,65.0
18,4780.0,0.000119,15765352.0,251474.0,65.0
180,4362.0,0.000152,15752434.0,241718.0,63.0
181,3864.0,9.4e-05,14037609.0,218793.0,65.0
182,3835.0,9.3e-05,15733610.0,217974.0,65.0
183,15718.0,3e-05,17236813.0,343059.0,63.0
184,15385.0,3e-05,16358231.0,356994.0,63.0
185,3845.0,9.4e-05,15508768.0,209408.0,63.0
186,4049.0,8.5e-05,15547508.0,224008.0,65.0
187,4010.0,0.000107,15732956.0,228421.0,65.0
188,4304.0,0.00014,15751947.0,230342.0,63.0
189,3600.0,0.000115,14010189.0,213346.0,63.0
19,4626.0,0.000115,15748169.0,250601.0,65.0
190,3963.0,0.000152,14042102.0,229607.0,63.0
191,4082.0,9.4e-05,15755022.0,222826.0,63.0
192,4049.0,8.1e-05,15742022.0,224988.0,63.0
193,3990.0,0.00012,15738059.0,224743.0,61.0
194,14775.0,2.9e-05,16362041.0,318960.0,63.0
195,14675.0,2.9e-05,16351494.0,309927.0,63.0
196,4124.0,8.1e-05,15663860.0,219206.0,63.0
197,3836.0,0.000116,15728291.0,227371.0,65.0
198,15988.0,3e-05,16366117.0,396474.0,63.0
199,3835.0,9.1e-05,15017347.0,220590.0,59.0
2,15155.0,3e-05,16361903.0,339946.0,63.0
20,14845.0,7.3e-05,14613474.0,400182.0,67.0
200,3961.0,0.0001155,15509021.0,229849.0,65.0
201,15257.0,0.000845,13198387.0,488016.0,63.0
202,16282.0,0.000734,14537044.0,506031.0,65.0
